01A,AM,10072018
01B,AM,10122018
01D,AM,10062018
01E,AM,10062018
01F,AM,10102018
01G,AM,10062018
01H,AM,10122018
01I,AM,10072018
02A,AM,10102018
02C,AM,10102018
02D,AM,10072018
02E,AM,10102018
02F,AM,10062018
02G,AM,10102018
02H,AM,10062018
02I,AM,10062018
03C,AM,10072018
03D,AM,10062018
03E,AM,10062018
03F,AM,10062018
03G,AM,10082018
03H,AM,10082018
03I,AM,10102018
04A,AM,10072018
04B,AM,10102018
04D,AM,10122018
04E,AM,10202018
04F,AM,10072018
04H,AM,10062018
04I,AM,10062018
05A,AM,10062018
05B,AM,10082018
05C,AM,10062018
05D,AM,10202018
05E,AM,10082018
05F,AM,10072018
05G,AM,10062018
05H,AM,10072018
05I,AM,10102018
06A,AM,10062018
06B,AM,10122018
06C,AM,10072018
06D,AM,10082018
06F,AM,10062018
06H,AM,10082018
06I,AM,10062018
07A,AM,10062018
07B,AM,10082018
07C,AM,10122018
07D,AM,10062018
07E,AM,10062018
07G,AM,10102018
07I,AM,10122018
08C,AM,10072018
08D,AM,10072018
08E,AM,10132018
08F,AM,10142018
08G,AM,10122018
08H,AM,10172018
08I,AM,10062018
09B,AM,10102018
09C,AM,10062018
09D,AM,10082018
09E,AM,10082018
09F,AM,10132018
09G,AM,10072018
10A,AM,10062018
10C,AM,10182018
10D,AM,10082018
10E,AM,10102018
10F,AM,10072018
10I,AM,10102018
11A,AM,10142018
11B,AM,10072018
11C,AM,10072018
11D,AM,10102018
11E,AM,10132018
11F,AM,10132018
11G,AM,10122018
11H,AM,10102018
11I,AM,10122018
12A,AM,10082018
12B,AM,10072018
12C,AM,10132018
12D,AM,10132018
12E,AM,10172018
12F,AM,10202018
12G,AM,10122018
12H,AM,10072018
12I,AM,10132018
13A,AM,10172018
13B,AM,10082018
13C,AM,10102018
13D,AM,10142018
13E,AM,10172018
13F,AM,10072018
13G,AM,10132018
13H,AM,10132018
13I,AM,10132018
14A,AM,10142018
14B,AM,10072018
14C,AM,10072018
14D,AM,10142018
14E,AM,10082018
14F,AM,10072018
14G,AM,10122018
14H,AM,10072018
14I,AM,10132018
15B,AM,10142018
15C,AM,10102018
15E,AM,10132018
15F,AM,10072018
15G,AM,10082018
15H,AM,10132018
15I,AM,10082018
16A,AM,10132018
16B,AM,10142018
16C,AM,10142018
16D,AM,10072018
16E,AM,10142018
16F,AM,10082018
16G,AM,10102018
16H,AM,10072018
16I,AM,10082018
17A,AM,10172018
17B,AM,10102018
17D,AM,10082018
17E,AM,10172018
17F,AM,10072018
17G,AM,10182018
17H,AM,10102018
17I,AM,10142018
18A,AM,10122018
18B,AM,10172018
18C,AM,10182018
18E,AM,10122018
18H,AM,10182018
18I,AM,10172018
19A,AM,10132018
19B,AM,10192018
19C,AM,10192018
19D,AM,10072018
19E,AM,10072018
19F,AM,10072018
19G,AM,10182018
19H,AM,10102018
19I,AM,10172018
20A,AM,10102018
20B,AM,10072018
20C,AM,10182018
20D,AM,10072018
20E,AM,10142018
20F,AM,10142018
20G,AM,10182018
20H,AM,10142018
20I,AM,10172018
21C,AM,10142018
21E,AM,10172018
21F,AM,10182018
21G,AM,10142018
21H,AM,10172018
21I,AM,10182018
22B,AM,10132018
22C,AM,10132018
22D,AM,10082018
22E,AM,10182018
22G,AM,10182018
22H,AM,10182018
23A,AM,10182018
23B,AM,10192018
23C,AM,10192018
23D,AM,10132018
23E,AM,10142018
23F,AM,10182018
23G,AM,10182018
23H,AM,10142018
23I,AM,10192018
24A,AM,10142018
24B,AM,10132018
24C,AM,10102018
24I,AM,10192018
25A,AM,10132018
25B,AM,10142018
25I,AM,10122018
26A,AM,10142018
26B,AM,10102018
26I,AM,10102018
27A,AM,10082018
27B,AM,10142018
27C,AM,10142018
27I,AM,10072018
28A,AM,10142018
28B,AM,10072018
28C,AM,10142018
28D,AM,10122018
28I,AM,10132018
29A,AM,10132018
29B,AM,10072018
29C,AM,10072018
29D,AM,10142018
29E,AM,10172018
29H,AM,10132018
29I,AM,10192018
30A,AM,10102018
30B,AM,10072018
30C,AM,10142018
30D,AM,10172018
30E,AM,10082018
30F,AM,10192018
30G,AM,10132018
30H,AM,10072018
30I,AM,10132018
31A,AM,10102018
31B,AM,10172018
31C,AM,10172018
31D,AM,10142018
31E,AM,10142018
31F,AM,10132018
31G,AM,10192018
31H,AM,10132018
31I,AM,10122018
32A,AM,10182018
32B,AM,10172018
32C,AM,10142018
32E,AM,10072018
32F,AM,10122018
32G,AM,10102018
32H,AM,10102018
32I,AM,10132018
33B,AM,10102018
33C,AM,10122018
33D,AM,10172018
33E,AM,10142018
33F,AM,10082018
33G,AM,10132018
33H,AM,10192018
33I,AM,10082018
34A,AM,10122018
34C,AM,10072018
34E,AM,10182018
34F,AM,10072018
34G,AM,10182018
34H,AM,10072018
34I,AM,10122018
35A,AM,10142018
35B,AM,10102018
35C,AM,10072018
35D,AM,10192018
35E,AM,10202018
35F,AM,10072018
35G,AM,10072018
35H,AM,10132018
35I,AM,10132018
36A,AM,10182018
36B,AM,10132018
36C,AM,10142018
36D,AM,10072018
36E,AM,10132018
36F,AM,10172018
36G,AM,10182018
36H,AM,10102018
36I,AM,10172018
37A,AM,10122018
37B,AM,10182018
37C,AM,10122018
37D,AM,10182018
37E,AM,10132018
37F,AM,10102018
37H,AM,10182018
37I,AM,10102018
38A,AM,10192018
38B,AM,10192018
38C,AM,10192018
38D,AM,10172018
38E,AM,10102018
38F,AM,10182018
38G,AM,10182018
38H,AM,10192018
38I,AM,10192018
39A,AM,10132018
42D,AM,10142018
39B,AM,10182018
39C,AM,10172018
39D,AM,10082018
39E,AM,10182018
39F,AM,10142018
39G,AM,10182018
39H,AM,10072018
39I,AM,10192018
40A,AM,10102018
40B,AM,10192018
40C,AM,10172018
40D,AM,10132018
40E,AM,10142018
40F,AM,10182018
40G,AM,10072018
40H,AM,10172018
40I,AM,10182018
41A,AM,10132018
41C,AM,10172018
41D,AM,10142018
41E,AM,10072018
41F,AM,10192018
41G,AM,10132018
41H,AM,10172018
41I,AM,10182018
42A,AM,10192018
42C,AM,10072018
42E,AM,10082018
42F,AM,10192018
42G,AM,10182018
42H,AM,10192018
42I,AM,10192018
9I,AM,10142018
01C,AM,10122018
02B,AM,10102018
03A,AM,10122018
03B,AM,10102018
04C,AM,10062018
06E,AM,10142018
07H,AM,10062018
09H,AM,10062018
10B,AM,10062018
10G,AM,10062018
10H,AM,10142018
15A,AM,10072018
15D,AM,10072018
17C,AM,10182018
18D,AM,10182018
18F,AM,10142018
18G,AM,10142018
21A,AM,10192018
21B,AM,10192018
21D,AM,10082018
22A,AM,10082018
22F,AM,10072018
22I,AM,10072018
32D,AM,10132018
33A,AM,10082018
34B,AM,10132018
34D,AM,10082018
37G,AM,10142018
41B,AM,10102018
42B,AM,10142018
04G,AM,10062018
06G,AM,10082018
07F,AM,10082018
08A,AM,10132018
08B,AM,10072018
09A,AM,10132018
