word,count
a,12253
aaron,1
abandon,33
abandonment,1
abase,1
abased,1
abasement,1
abate,7
abated,1
abbot,1
abdicate,1
abdication,1
abduction,2
abductor,1
abet,1
abettor,1
abeyance,1
ability,7
abject,2
abjure,1
abjured,1
able,92
aboard,1
abode,17
abolish,1
abominable,2
abou,1
abound,2
about,465
above,71
abreast,3
abroad,8
abruptly,6
abruzzo,1
abscess,1
absence,42
absent,16
absently,1
absolute,7
absolutely,20
absolve,1
absorb,26
absorbed,1
absorption,1
abstinence,2
abstract,1
abstracted,1
abstraction,2
absurd,11
absurdity,3
abundant,1
abundantly,7
abuse,5
abyss,12
acacia,1
academic,1
academician,4
academy,5
accede,4
accelerate,4
accent,32
accept,73
acceptable,4
acceptance,1
access,6
accessory,1
accident,25
accidentally,4
acclamation,1
accommodate,1
accommodation,2
accompanied,2
accompany,108
accomplice,14
accomplish,30
accomplished,2
accomplishment,3
accord,69
accordance,8
accordingly,5
accost,5
accoules,3
account,106
accountable,2
accoutrement,2
accumulate,3
accumulating,1
accumulation,1
accuracy,4
accurate,2
accurately,5
accurse,3
accursed,10
accusation,25
accusatory,1
accuse,34
accused,3
accusing,1
accustom,63
accustomed,16
ace,3
ache,3
achieve,9
achilles,1
acid,2
acknowledge,50
acknowledged,3
acknowledgement,1
acknowledgment,1
acquaint,42
acquaintance,50
acquainted,2
acquiescence,2
acquire,40
acquisition,4
acquit,3
acre,6
acrid,2
acrimonious,1
across,36
act,110
acted,1
action,42
active,12
activity,10
actor,14
actress,1
actual,8
actually,14
actuate,5
acute,4
acutely,1
acuteness,2
adamastor,1
adapt,3
add,164
added,6
addict,1
addition,7
additional,5
address,120
addressed,2
adelmonte,11
adept,1
adequate,2
adhere,4
adherence,1
adherent,2
adieu,56
adjacent,3
adjoin,8
adjoining,12
adjourn,1
adjure,1
adjust,4
administer,10
administrator,1
admirable,17
admirably,13
admiration,26
admire,25
admired,2
admirer,2
admission,2
admit,42
admits,1
admittance,3
adopt,28
adopted,2
adoption,1
adorable,7
adorably,1
adoration,2
adore,19
adored,4
adorn,3
adrift,1
adroit,1
adroitly,1
advance,135
advanced,12
advancement,1
advancing,2
advantage,34
advantageous,4
advantageously,2
adventure,28
adventurer,3
adventurous,4
adversary,11
adversity,3
advertise,1
advertisement,2
advice,50
advisable,1
advise,23
adviser,4
advocate,3
aeschylus,1
afar,2
affability,1
affable,3
affably,1
affair,125
affect,42
affectation,2
affected,6
affecting,2
affection,46
affectionate,15
affectionately,9
affianced,5
affinity,1
affirm,4
affirmative,11
affix,1
afflict,4
affliction,7
afford,32
affords,1
affray,1
affright,1
affront,1
aflame,1
afloat,3
aforesaid,1
afraid,25
afresh,1
africa,10
african,1
africanus,1
after,492
afternoon,10
afterward,1
afterwards,82
again,379
against,233
age,87
aged,3
agency,1
agent,36
aggravated,2
aggression,1
aghast,3
agile,2
agility,3
agitate,20
agitated,13
agitation,29
ago,59
agonized,1
agonizing,2
agony,27
agree,46
agreeable,31
agreeably,2
agreed,1
agreement,5
agriculture,1
agriculturist,1
agrippina,1
aguado,1
ague,1
aguesseau,1
ah,400
aha,1
ahead,3
aid,48
aiguemortes,2
aigues,2
ail,6
aim,12
air,140
airy,1
aix,5
ajar,3
ajax,1
akin,1
al,1
ala,55
alabaster,1
alacrity,2
aladdin,5
alaric,1
alarm,81
alarmed,6
alarming,3
alas,33
alatri,1
alba,1
albanese,1
albania,2
albanian,4
albano,4
albert,780
alberto,2
album,11
alcohol,1
alcove,1
alembic,1
aleppo,1
aleria,1
alert,5
alexander,10
alexandre,1
alexandria,3
algebraic,3
alger,1
algeria,2
algerian,1
algiers,5
ali,173
alicante,5
alienate,3
alienation,2
alight,18
alike,3
alive,29
all,1643
alla,2
allay,1
alle,2
allege,2
allegiance,1
allegory,1
alleviate,7
alley,5
alliance,18
allied,1
allot,1
allow,173
allowable,1
allowance,4
alloy,1
allude,17
alludes,1
alluring,1
allusion,9
ally,6
almighty,8
almo,1
almost,243
alms,2
almsgiver,1
alo,1
aloft,3
alone,275
along,62
alongside,4
aloof,1
aloud,24
alp,1
alphabet,6
alpine,1
already,187
also,194
altar,7
alter,22
alteration,4
altercation,1
altered,1
alternate,1
alternately,8
alternation,1
alternative,2
although,131
altogether,19
always,238
amasine,1
amass,5
amateur,4
amaze,3
amazed,3
amazement,20
amazing,1
amazon,1
ambassador,7
amber,2
ambition,17
ambitious,10
amble,1
ambrosia,2
ambush,2
amen,1
amends,4
america,1
american,1
amiability,3
amiable,9
amicable,1
amicably,2
amid,15
amidst,8
amiss,2
amnesty,1
among,84
amongst,32
amorous,2
amount,59
amphion,1
amphitheatre,2
amphitrite,2
amphitryon,1
ample,9
amply,3
amuse,34
amusement,9
amusing,1
amusingly,1
an,1490
anagni,1
analogous,1
analysis,1
analyze,2
ancestor,6
ancestry,1
anchor,22
anchoring,2
ancient,26
ancona,1
and,12501
andalusian,1
andalusians,1
andrea,308
andromeda,1
angel,44
angelic,1
angelica,1
angelo,3
angels,1
anger,43
angle,22
angler,1
anglo,1
angrily,1
angry,35
anguish,25
angular,2
animal,27
animate,7
animated,3
animation,10
animosity,1
annihilation,1
anniversary,2
annotate,2
annotation,1
announce,73
announcement,11
annoy,23
annoyance,6
annoyed,1
annoying,1
annual,1
annually,1
annuity,7
annul,1
annum,13
anoint,1
anonymous,5
another,296
anse,1
answer,277
answered,18
answering,1
ant,1
antechamber,25
anterior,1
anteroom,14
anthony,3
anti,3
antibes,2
anticipate,25
anticipated,2
anticipation,6
antidote,3
antin,11
antipathy,3
antiquated,2
antique,3
antiquity,3
antithesis,1
antoine,5
antoinette,3
antonia,1
antoninus,1
anxiety,37
anxious,44
anxiously,18
any,490
anybody,11
anyone,116
anything,150
anywhere,9
apart,5
apartment,133
apathy,2
aperture,10
apex,1
aphis,1
aphorism,1
apicius,1
apiece,3
apologize,7
apology,8
apoplectic,4
apoplexy,10
apostles,1
appal,2
appalling,2
apparel,1
apparent,19
apparently,31
apparition,10
appeal,18
appear,378
appearance,93
appeared,1
appearing,1
appease,2
appellation,8
appert,1
