word,count
a,3049
abatement,1
abbey,1
abhorrence,6
abhorrent,1
abide,3
ability,7
able,54
ablution,1
abode,7
abominable,6
abominably,4
abominate,2
abound,1
about,129
above,22
abroad,4
abrupt,1
abruptly,2
abruptness,2
absence,28
absent,4
absolute,5
absolutely,18
absurd,5
absurdity,3
abundant,1
abundantly,3
abuse,7
abusive,2
accede,3
accent,6
accept,37
acceptable,6
acceptance,4
accepted,1
accident,6
accidental,3
accidentally,5
accompany,15
accomplish,4
accomplished,8
accomplishment,8
accord,8
accordingly,6
accost,2
account,46
accounting,2
accuracy,1
accurate,1
accusation,4
accuse,7
accustom,1
accustomed,1
ache,1
achieve,2
acknowledge,27
acknowledged,2
acknowledgment,6
acquaint,27
acquaintance,63
acquiesce,1
acquiescence,2
acquire,3
acquisition,1
acquit,2
acrimony,1
across,6
act,19
acting,1
action,9
active,4
activity,4
actual,7
actually,12
actuate,1
acute,3
acutely,5
adapt,3
add,87
added,6
addison,5
addition,10
additional,2
address,45
adept,1
adequate,1
adhere,2
adieu,7
adjust,2
admirable,4
admiration,26
admire,33
admired,2
admirer,4
admission,1
admit,19
admittance,1
admittedly,1
adopt,4
adoration,1
adorn,2
adorned,1
advance,8
advanced,1
advancement,1
advantage,41
advantageous,2
advantageously,3
advent,1
adventure,2
advertise,1
advice,17
advisable,6
advise,12
affability,4
affable,1
affair,27
affect,17
affectation,3
affected,6
affection,65
affectionate,20
affectionately,4
affinity,3
affirmative,2
afflict,1
affliction,1
afford,15
affords,1
affront,6
afraid,37
afresh,1
after,205
afternoon,3
afterwards,32
again,182
against,53
age,17
aggravate,1
agitate,1
agitated,3
agitating,1
agitation,7
ago,27
agony,2
agree,21
agreeable,49
agreeably,3
agreement,3
ah,5
aid,1
aim,1
air,31
airing,1
alacrity,5
alarm,26
alarmed,1
alarming,1
alas,2
alienate,1
alight,1
alike,2
alive,6
all,647
allay,1
allegra,1
allegro,1
allen,37
alleviate,2
alliance,3
allow,66
allowable,1
allowance,5
allude,9
allurement,1
allusion,6
almost,65
alone,30
along,10
aloof,2
aloud,11
already,29
also,35
altar,1
alter,6
alteration,8
altered,2
alternate,1
alternative,3
although,2
altogether,8
always,126
amaze,9
amazement,10
ambition,1
amend,1
amendment,2
amends,4
amiable,36
amid,1
amidst,4
amiss,1
among,25
amongst,12
amount,3
ample,2
amply,2
amuse,14
amused,1
amusement,15
amusing,1
an,378
ancient,1
ancle,1
ancles,2
and,3763
anecdote,3
anew,1
angel,3
angelic,1
anger,13
angrily,1
angry,17
anguish,3
animal,1
animate,1
animated,4
animating,1
animation,4
anne,5
annesley,3
annex,1
announce,7
annoy,1
annual,1
annum,2
another,57
answer,101
answerable,2
answered,2
antagonist,1
antechamber,1
anticipate,7
anticipation,1
anxiety,19
anxious,26
anxiously,2
any,282
anybody,29
anyhow,1
anyone,23
anything,81
anywhere,1
apace,1
apartment,6
apologize,11
apology,10
apothecary,4
apparel,1
apparent,3
apparently,2
appeal,3
appear,72
appearance,31
appeared,2
appearing,1
appease,2
appendix,1
appertain,1
appetite,2
application,12
applied,1
apply,20
appoint,1
appointment,1
appreciably,1
apprehend,4
apprehension,14
apprehensive,1
approach,23
approaching,2
approbation,7
approve,8
april,1
apt,1
arch,1
archbishop,2
archly,2
archness,1
ardent,1
ardently,2
argemone,2
argue,2
argument,10
arise,22
arisen,1
arm,4
army,4
around,2
arrange,5
arranged,1
arrangement,9
arrear,1
arrest,2
arrival,32
arrive,18
arrogance,1
arrogant,1
art,11
artful,1
artfully,2
article,5
artificial,1
artist,1
as,215
ascend,3
ascertain,3
ashamed,16
ashworth,1
aside,4
ask,87
asleep,1
aspect,6
asperity,1
aspire,1
assemble,6
assembly,11
assent,4
assert,6
asserting,1
assertion,6
assiduous,2
assiduously,1
assist,13
assistance,13
assistant,1
associate,1
assume,3
assumed,1
assurance,23
assure,74
astonish,14
astonished,2
astonishment,30
at,816
ate,3
atone,3
atonement,2
attach,14
attachment,28
attack,10
attain,1
attempt,33
attend,38
attendance,4
attendant,2
attention,97
attentive,10
attentively,3
attic,1
attitude,1
attorney,3
attract,3
attraction,7
attractiveness,1
attribute,10
audible,1
audience,2
aught,1
augment,1
augmented,1
august,1
aunt,89
austen,28
austenians,1
austerity,1
author,7
authoritative,2
authority,10
authorize,5
avail,3
avarice,1
avenue,1
aversion,1
avoid,21
avoidance,2
avow,3
avowal,3
await,1
awake,2
awaken,4
aware,14
away,121
awe,6
awful,2
awkward,10
awkwardness,4
awoke,1
ay,6
b,1
back,46
backgammon,2
backward,1
backwards,1
bad,38
badly,1
bakewell,1
ball,45
ballad,1
balm,1
band,1
banish,5
banished,1
bank,2
barbara,2
barbarous,1
barbarously,1
bare,1
barefaced,1
barely,3
barnet,2
barouche,1
bashful,1
basis,1
bass,1
bates,1
bath,3
battle,2
be,6041
bear,35
bearing,1
beating,1
beatrix,2
beau,1
beauteous,1
beautiful,15
beauty,34
because,64
become,32
bed,6
befall,2
before,228
beforehand,1
befriend,1
beg,28
begin,81
beginning,8
behalf,4
behave,12
behaviour,55
behind,14
behold,5
belectured,1
belief,15
believe,138
believing,2
bell,6
belong,7
belonging,1
belongs,2
beloved,2
below,5
bench,1
bend,1
beneath,6
beneficence,1
beneficial,1
benefit,11
benevolence,3
benevolent,1
bennet,349
bent,2
bequeath,1
bequest,1
beside,1
besides,11
best,46
bestow,16
bet,1
betray,7
better,2
between,67
bewail,1
bewildered,1
bewitch,2
beyond,37
bid,2
bidding,2
bill,1
billiard,1
bind,1
bingley,310
bingleys,6
bird,2
birmingham,1
birth,6
bit,3
bite,1
bitter,3
bitterly,2
bitterness,5
black,4
blacken,1
blame,20
blameless,2
blamelessness,1
blast,1
blemish,1
blenheim,1
bless,7
blessing,4
blind,10
blot,1
blow,2
blowzy,1
blue,3
blush,11
blushing,1
board,1
boast,14
body,1
boisterously,1
boisterousness,1
bold,2
boldly,1
bonnet,3
book,38
border,5
bore,9
born,2
borne,1
borrow,3
bosom,2
both,73
bottle,2
bottom,1
bound,2
boundary,2
boundless,1
bountiful,1
bounty,1
bourgh,41
bow,17
bowl,1
box,3
boy,6
bracelet,1
brain,3
branch,4
breach,3
breadth,1
break,12
breakfast,29
breast,2
breath,2
breathe,2
breathless,2
bred,1
breed,5
breeding,6
brevity,1
bribe,1
bribery,1
bride,3
bridegroom,1
bridge,3
briefly,4
bright,4
brighten,2
brighton,24
brilliancy,2
bring,73
brink,2
britain,1
british,2
brittle,1
broad,1
broken,1
bromley,1
brook,1
brother,81
brotherly,1
brow,1
brown,1
buff,1
build,6
building,3
bully,1
burlesque,1
burn,1
burney,1
burnt,1
burst,3
bury,1
busily,3
business,47
bustle,1
busy,1
but,1036
butcher,1
butler,1
buy,9
by,699
bye,5
cake,1
calculate,4
calculation,1
calico,1
call,90
calm,5
calmly,1
calmness,4
cambric,1
cambridge,1
camp,3
campful,1
can,220
candid,1
candour,3
cannot,114
canvas,1
canvass,2
capable,18
capacity,1
caper,1
capital,5
caprice,4
captain,4
captivate,4
captivation,1
card,16
care,47
careful,4
carefully,3
careless,2
carelessness,2
caroline,17
carpet,1
carr,1
carriage,49
carriages,1
carry,17
carter,4
carve,1
case,41
cassino,1
cast,2
casual,1
catastrophe,1
catch,15
catherine,132
caught,1
causa,1
cause,27
caution,5
cautious,4
cautiousness,1
cease,8
ceaseless,1
celebrate,1
celebrated,1
celerity,1
censure,8
cent,1
centre,1
century,4
ceremonious,3
ceremony,6
certain,58
certainly,77
certainty,8
cessation,1
chagrin,1
chair,6
chaise,11
challenge,1
chamber,1
chamberlayne,1
chambermaid,2
chance,20
chancery,2
change,36
changed,2
chapter,90
char,2
character,75
characteristic,6
characterize,1
charge,12
charity,1
charles,9
charlotte,87
charm,27
charming,8
charmingly,2
chary,1
chatsworth,1
chatty,1
chawton,1
cheap,2
cheapside,2
cheat,2
check,11
cheek,4
cheer,1
cheerful,9
cheerfully,2
cheerfulness,7
cheering,1
cherish,4
cherished,1
chestnut,1
chicken,1
chief,17
chiefly,10
child,38
childhood,1
chimney,1
chin,1
china,1
chip,1
chiswick,2
choice,17
choose,47
choosing,1
chose,4
chosen,1
christen,1
christian,2
christmas,6
chronological,1
church,12
churchill,1
circle,8
circuit,1
circulate,2
circulation,2
circumspect,1
circumspection,2
circumstance,47
city,1
civil,18
civilities,1
civility,50
civilly,3
claim,15
clamorous,1
clapham,4
clarke,1
class,2
classical,1
cleanse,1
clear,13
clearly,3
clement,1
clergy,1
clergyman,8
clerical,1
clerk,2
clever,9
climax,1
clock,6
close,17
closely,1
closer,1
closet,1
closure,1
clothes,13
cloud,1
clue,1
clump,1
cluster,1
co,2
coach,10
coachman,2
coarse,1
coarsely,1
coarseness,2
coat,5
coaxed,1
coffee,8
cogent,1
coherent,1
coincide,2
coincidence,1
cold,20
colder,1
coldly,2
coleridge,1
collect,7
collection,4
collins,196
colonel,68
colossal,1
colour,20
coloured,2
combat,1
combination,1
combine,1
come,268
comedy,1
comer,1
comfort,36
comfortable,12
comfortably,2
comfortless,1
coming,2
command,10
commencement,2
commend,2
commendable,1
commendation,9
comment,1
commerce,1
commiseration,1
commission,9
common,25
commonly,1
communicate,6
communication,12
communicative,1
communicativeness,1
companion,23
companionship,1
company,23
comparative,3
comparatively,3
compare,7
comparison,16
compass,1
compassion,14
compassionate,2
compatible,2
compensation,1
competent,1
competition,4
competitor,1
complacency,5
complain,6
complaint,5
complaisance,5
complaisant,1
complete,12
completely,7
completeness,1
completion,1
complexion,8
compliance,1
complied,1
compliment,42
comply,9
compose,6
composedly,3
composition,3
composure,16
comprehend,22
comprehends,1
comprehension,1
comprise,3
compromise,1
comyns,1
conceal,21
concealed,1
concealment,2
conceit,5
conceited,6
conceive,3
conception,1
concern,52
concerned,4
concerning,1
concerto,1
conciliate,2
conciliatory,1
concise,1
concisely,2
conclude,17
conclusion,8
concurrence,2
condemn,5
condescend,7
condescendingly,1
condescension,7
condition,6
conditional,1
conditionally,1
condole,2
condolence,1
conduct,28
confederacy,1
conference,4
confess,20
confession,3
confidante,2
confide,3
confidence,11
confident,3
confidential,1
confidently,1
confine,4
confined,1
confinement,1
confirm,7
confirmation,4
confuse,2
confused,2
confusion,11
congenial,1
congratulate,9
congratulation,13
congratulatory,1
conjecture,17
conjugal,2
conjunction,1
connect,18
connection,39
connivance,1
connubial,1
conquer,3
conquest,3
conscience,5
conscientious,1
conscientiously,1
conscious,3
consciously,2
consciousness,3
consent,16
consequence,34
consequent,1
consequential,1
consequently,10
consider,70
considerable,10
considerably,3
consideration,15
consign,2
consist,5
consistency,1
consistent,4
consolation,11
consolatory,1
console,14
constancy,1
constant,12
constantly,3
consternation,1
constitute,1
constitution,1
constrained,1
construction,4
construe,2
consult,7
consummate,1
contain,17
contemplation,4
contempt,13
contemptuously,1
content,14
contention,1
contentment,3
continual,3
continually,6
continuance,3
continue,58
continued,5
contract,2
contracted,1
contradict,3
contradiction,1
contrariety,1
contrariwise,1
contrary,10
contrast,5
contribute,5
contrivance,4
contrive,6
controvert,1
convenience,4
convenient,5
convention,2
conversation,65
converse,8
conversible,1
convert,2
convey,5
conviction,16
convince,37
convinced,7
cook,2
cookery,1
cool,3
coolly,4
coppice,1
copse,4
copy,1
copying,1
copyright,1
coquetry,1
cordial,3
cordiality,4
cordially,3
corner,1
corp,5
corps,1
correct,2
correspond,1
correspondence,5
correspondent,3
