word,count
a,4407
aback,1
abaft,2
abandon,3
abasement,1
abate,3
abbey,9
abed,1
abhor,2
abide,1
ability,1
ablaze,1
able,47
abnormal,1
abnormally,2
aboard,6
aboon,2
aboord,2
aboot,3
about,233
above,18
abraham,4
abramoff,1
abreast,3
abroad,6
absence,2
absent,2
absolute,8
absolutely,11
absolve,1
absorb,4
absorbed,1
abstract,1
abut,1
abyss,1
acant,1
accent,1
accentuate,1
accept,22
acceptance,1
access,1
accident,10
accidental,1
accomplish,2
accomplished,1
accord,7
accordance,3
accordingly,3
account,24
accumulation,2
accuracy,3
accurate,8
accurately,2
accursed,1
accuse,1
accustom,4
accustomed,3
achieve,7
aching,1
acknowledge,2
acquaint,1
acquaintanceship,1
acquiesce,4
acquiesced,1
acquiescence,4
acquire,3
acre,1
acrewk,1
acrid,3
across,28
act,36
action,25
active,7
actual,3
actually,17
acumen,1
acute,1
acutely,1
ad,7
adamantine,1
adapt,1
add,34
added,1
addendum,1
addition,1
additional,2
addle,1
address,16
adduce,2
adelphi,1
adequately,1
adhere,1
adjacent,1
adjust,2
admirable,1
admiralty,1
admire,1
admission,1
admit,8
adopt,2
adornment,1
advance,15
advanced,2
advancement,1
advantage,3
adventure,11
adventurous,1
advertise,1
advice,1
advisable,1
advise,2
aerial,2
afar,5
afeared,2
affair,21
affect,10
affection,1
affectionate,1
afflict,2
affliction,1
afford,7
affright,1
affront,1
afield,2
afoot,1
afore,8
afraid,41
afresh,3
africa,1
aft,1
after,209
afternoon,19
afterwards,15
aftest,1
again,246
against,67
agatha,5
age,17
ageeanwards,1
agency,2
agent,14
agglomeration,1
aggressive,1
aghast,1
agin,1
agitate,1
agitation,1
aglow,1
ago,26
agone,1
agonise,5
agonised,5
agonized,1
agony,8
agree,19
agreement,3
ague,1
ah,29
aha,4
ahead,8
ahint,1
aid,21
aim,1
ain,14
air,55
airly,1
airt,1
ajar,2
akin,1
ala,11
alacrity,2
alarm,9
alarmed,1
alas,10
alchemist,1
alder,1
alert,3
alight,1
alike,1
alive,13
all,1166
allay,1
allayed,1
allaying,1
allegiance,1
alley,2
alliance,1
allied,1
allow,10
allowable,1
allusion,1
ally,1
almanack,1
almighty,5
almost,70
aloft,1
alone,80
along,57
alongside,2
aloof,1
aloud,1
already,64
also,40
alter,1
alternative,2
although,17
altogether,16
always,63
amateur,1
amaze,5
amazed,2
amazement,6
amen,1
amenable,2
america,2
american,4
americanism,1
amid,4
amidst,2
among,8
amongst,40
amount,9
amsterdam,10
amuse,3
amused,1
an,358
analogy,2
analyse,1
analysis,1
anatomy,1
anceterer,1
anchor,5
ancient,6
and,5915
andersen,1
andres,2
andrew,1
ands,1
anent,2
anew,1
angel,8
angelic,1
angels,1
anger,7
angle,4
angrier,1
angrily,4
angry,14
anguish,4
animal,15
animate,1
animation,2
animile,1
animiles,4
announce,3
annoy,1
annual,1
another,90
answer,106
answered,1
antagonism,1
antherums,1
anticipation,1
antidote,2
antique,1
antwerp,1
anxiety,15
anxious,28
anxiously,2
any,287
anybody,3
anyhow,15
anyone,2
anything,97
anywhere,16
anywheres,1
apart,3
apathy,1
aperture,3
apiece,1
apologetic,1
apologetically,1
apologise,2
apology,4
appal,6
appalled,1
appalling,1
apparent,5
apparently,2
appeal,4
appealing,2
appealingly,3
appear,20
appearance,7
appease,3
appetite,6
apple,2
appliance,1
application,1
apply,3
appoint,1
appositeness,1
appraise,1
appreciate,1
appreciation,1
appreciative,1
apprehend,1
apprehension,2
apprentice,1
approach,9
approaching,1
approval,1
approve,4
april,2
apron,1
apt,2
aquiline,4
arabian,1
arbitrary,1
arch,5
archibald,2
archimedes,1
archipelago,1
archway,1
ard,1
ardour,1
area,4
arf,2
argue,10
argument,4
argumentative,1
argumentativeness,1
argy,1
aright,2
arise,2
ark,1
arlington,1
arm,69
armament,2
armed,2
arminius,3
armony,2
armour,2
army,2
around,37
arouse,7
arpad,1
arrange,25
arrangement,6
array,3
arrear,1
arrears,1
arrest,2
arrival,11
arrive,45
arrives,1
arrogate,1
arrow,1
arsenal,1
arsk,5
arsked,1
arskin,1
art,26
arter,3
artfully,1
arther,1
arthur,148
article,1
articulate,1
artificial,1
as,138
ascend,8
ascertain,6
ash,3
ashamed,4
ashen,3
ashy,1
asia,1
aside,6
asinine,1
ask,230
asked,1
asleep,47
aspect,2
aspen,1
assail,1
assemblage,1
assemble,2
assent,7
assert,4
assertion,1
assiduously,1
assign,1
assimilation,2
assist,2
assistant,2
assume,3
assumption,1
assurance,4
assure,13
astonish,2
astonished,1
astonishing,1
astonishment,6
astral,1
astray,1
asylum,13
at,1083
athegither,1
athwart,1
atlas,1
atmosphere,3
atom,1
atonement,1
atropos,1
attach,2
attached,1
attack,20
attempt,12
attempting,1
attend,22
attendant,38
attention,14
attentively,1
attic,1
attila,2
attire,2
attitude,5
attract,7
attractive,1
attribute,3
attune,1
auction,1
auctioneer,1
aud,3
audibly,1
auditor,1
aught,4
august,32
aurora,1
auspex,1
austrian,2
authentic,1
author,2
authorisation,1
authority,3
autopsy,1
autumn,6
avail,3
available,5
avalanche,1
avar,1
avarice,1
ave,2
avenge,1
avenue,4
average,2
avert,1
avin,1
avoid,13
await,6
awake,32
awaken,10
awakes,1
aware,3
away,188
awe,3
awestruck,1
awful,31
awfully,2
awhile,8
awkward,2
awkwardly,1
awoke,3
axe,1
ay,7
b,2
babby,1
baby,3
bacca,1
